program_clean,academic_year,level,tot_students,tot_male,tot_female,duration,rolling_cohort,female_pct,male_pct,equity_status,cohort_female,cohort_male,cohort_female_pct
bcom (finance and accountancy) - bangalore yeshwanthpur campus,2023,Under Graduate Degree,95,38,57,3,95,60,40,Moderately Imbalanced,57,38,60
bcom (finance and accountancy) - bangalore yeshwanthpur campus,2024,Under Graduate Degree,163,70,93,3,163,57.05521472,42.94478528,Moderately Imbalanced,93,70,57.05521472
bcom (finance and accountancy) - bangalore yeshwanthpur campus,2025,Under Graduate Degree,248,105,143,3,248,57.66129032,42.33870968,Moderately Imbalanced,143,105,57.66129032
bcom (finance and accountancy) [integrated with cpa australia] - bangalore yeshwanthpur campus,2023,Under Graduate Degree,23,13,10,3,23,43.47826087,56.52173913,Moderately Imbalanced,10,13,43.47826087
bcom (finance and accountancy) [integrated with cpa australia] - bangalore yeshwanthpur campus,2024,Under Graduate Degree,46,23,23,3,46,50,50,Balanced,23,23,50
bcom (finance and accountancy) [integrated with cpa australia] - bangalore yeshwanthpur campus,2025,Under Graduate Degree,46,24,22,3,46,47.82608696,52.17391304,Balanced,22,24,47.82608696
bcom (finance and investment) - bangalore yeshwanthpur campus,2023,Under Graduate Degree,72,45,27,3,72,37.5,62.5,Moderately Imbalanced,27,45,37.5
bcom (finance and investment) - bangalore yeshwanthpur campus,2024,Under Graduate Degree,144,81,63,3,144,43.75,56.25,Moderately Imbalanced,63,81,43.75
bcom (finance and investment) - bangalore yeshwanthpur campus,2025,Under Graduate Degree,227,133,94,3,227,41.40969163,58.59030837,Moderately Imbalanced,94,133,41.40969163
bcom (international accountancy and finance) - bangalore yeshwanthpur campus,2023,Under Graduate Degree,68,33,35,3,68,51.47058824,48.52941176,Balanced,35,33,51.47058824
bcom (international accountancy and finance) - bangalore yeshwanthpur campus,2024,Under Graduate Degree,140,70,70,3,140,50,50,Balanced,70,70,50
bcom (international accountancy and finance) - bangalore yeshwanthpur campus,2025,Under Graduate Degree,205,104,101,3,205,49.26829268,50.73170732,Balanced,101,104,49.26829268
bcom (international business accounting/honours/honours with research) [integrated with cpa australia] - bangalore yeshwanthpur campus,2025,Under Graduate Degree,27,12,15,3,27,55.55555556,44.44444444,Moderately Imbalanced,15,12,55.55555556
bsc (clinical psychology) - bangalore yeshwanthpur campus,2025,Under Graduate Degree,20,1,19,3,20,95,5,Highly Imbalanced,19,1,95
"bsc (computer science, mathematics) - bangalore yeshwanthpur campus",2023,Under Graduate Degree,12,8,4,3,12,33.33333333,66.66666667,Moderately Imbalanced,4,8,33.33333333
"bsc (computer science, mathematics) - bangalore yeshwanthpur campus",2024,Under Graduate Degree,11,7,4,3,11,36.36363636,63.63636364,Moderately Imbalanced,4,7,36.36363636
"bsc (computer science, mathematics) - bangalore yeshwanthpur campus",2025,Under Graduate Degree,11,7,4,3,11,36.36363636,63.63636364,Moderately Imbalanced,4,7,36.36363636
"bsc (economics, mathematics, statistics) - bangalore yeshwanthpur campus",2023,Under Graduate Degree,58,24,34,3,58,58.62068966,41.37931034,Moderately Imbalanced,34,24,58.62068966
"bsc (economics, mathematics, statistics) - bangalore yeshwanthpur campus",2024,Under Graduate Degree,108,47,61,3,108,56.48148148,43.51851852,Moderately Imbalanced,61,47,56.48148148
"bsc (economics, mathematics, statistics) - bangalore yeshwanthpur campus",2025,Under Graduate Degree,156,67,89,3,156,57.05128205,42.94871795,Moderately Imbalanced,89,67,57.05128205
bsc (psychology) - bangalore yeshwanthpur campus,2023,Under Graduate Degree,172,26,146,3,172,84.88372093,15.11627907,Highly Imbalanced,146,26,84.88372093
bsc (psychology) - bangalore yeshwanthpur campus,2024,Under Graduate Degree,304,37,267,3,304,87.82894737,12.17105263,Highly Imbalanced,267,37,87.82894737
bsc (psychology) - bangalore yeshwanthpur campus,2025,Under Graduate Degree,437,57,380,3,437,86.95652174,13.04347826,Highly Imbalanced,380,57,86.95652174
bsc psychology (honours) with specialization in clinical - bangalore yeshwantpur campus,2025,Under Graduate Degree,28,5,23,3,28,82.14285714,17.85714286,Highly Imbalanced,23,5,82.14285714
